Id,BuiltArea,LotArea,Bedrooms,Bathrooms,Floors,Age,DistanceToCityCenter,SchoolRating,CrimeIndex,HasParking,HasGym,HasSwimmingPool,FurnishingType,SalePrice
1,1748.357077,1660.992254,2,2,3,25,3.685356916,,56.34890897,0,1,0,Semi-Furnished,124.7666155
2,1430.867849,1637.268713,1,4,3,2,9.040218062,10,30.72317086,0,0,0,Fully-Furnished,126.0240575
3,1823.844269,563.4854619,5,4,3,1,11.60082261,9,40.0844965,1,0,0,Unfurnished,115.837455
4,2261.514928,1735.927847,2,2,2,4,2.102468523,1,43.41304204,0,1,0,Unfurnished,145.6380874
5,1382.923313,2586.263265,1,1,2,19,18.05457387,3,35.27496251,1,1,0,,91.43879172
6,1382.931522,980.6143047,5,3,1,11,12.76354373,5,46.59960314,0,0,0,Unfurnished,92.26553377
7,2289.606408,2838.786121,4,4,3,37,8.00541321,3,10.5766716,0,0,1,Semi-Furnished,138.2073449
8,1883.717365,2390.219857,2,3,2,15,4.686367571,4,27.00353222,1,0,0,Unfurnished,147.2705645
9,1265.262807,1412.613342,4,4,2,36,7.299659399,4,22.17647565,0,0,1,Semi-Furnished,96.06410802
10,1771.280022,1886.77629,3,,3,37,8.335209438,1,31.68127303,0,0,1,Unfurnished,95.21819227
11,1268.291154,3278.657446,5,4,3,35,9.762650227,6,38.0673399,1,1,1,Unfurnished,143.5252102
12,1267.135123,2586.838251,5,2,1,28,14.0026434,7,49.90923593,1,0,0,Fully-Furnished,78.55815486
13,1620.981136,2007.026924,2,3,1,34,6.095606122,7,40.34934252,0,0,0,Fully-Furnished,89.10332942
14,543.3598777,1809.853346,5,1,2,36,10.25083935,6,36.95437639,0,1,0,Unfurnished,70.44837205
15,637.5410837,2061.287256,3,2,1,20,2.83028335,7,42.14063673,1,0,0,Semi-Furnished,95.82962802
16,1218.856235,1590.589154,5,3,2,20,6.345597143,3,39.52830447,0,0,0,Fully-Furnished,97.98273212
17,993.5844398,500,1,3,1,27,9.506867391,5,44.42943677,0,0,0,Fully-Furnished,49.27446541
18,1657.123666,3633.742328,4,4,3,5,10.76504996,7,44.98918004,0,1,1,Fully-Furnished,172.4479032
19,1045.987962,2124.259999,3,2,1,19,4.987070093,10,38.30367033,1,0,0,Unfurnished,89.81914524
20,793.8481493,2318.517812,3,3,2,35,6.236833216,5,26.37422998,1,0,0,Semi-Furnished,89.47699535
21,2232.824384,1953.6738,4,1,1,12,13.84222654,10,49.27993921,1,0,0,Semi-Furnished,148.1460668
22,1387.11185,1411.906559,4,4,2,39,12.64763448,2,62.53543454,1,0,0,Unfurnished,90.95281639
23,1533.764102,1851.260415,3,4,2,10,8.833828868,6,34.09034962,0,1,0,Semi-Furnished,139.6215338
24,787.6259069,,4,3,1,23,0.5,7,48.35697926,1,0,0,Fully-Furnished,117.3128358
25,1227.808638,3821.669198,2,2,1,18,18.04453019,2,43.34433131,1,0,1,Semi-Furnished,106.3615379
26,1555.461295,1012.390401,4,4,2,22,7.920273753,10,58.70196767,1,0,0,Fully-Furnished,113.7159029
27,924.5032113,1174.426973,1,2,3,30,6.749731768,8,36.99011993,1,0,0,Fully-Furnished,66.66433103
28,1687.849009,1647.792636,1,3,1,36,5.910560297,5,46.76143544,0,1,0,Unfurnished,83.13699372
29,1199.680655,3030.46058,2,3,2,36,9.505468149,8,48.1447807,1,1,1,Fully-Furnished,130.4597299
30,1354.153125,2011.607199,4,2,3,2,9.546330357,3,53.81847131,1,0,1,Semi-Furnished,119.4867284
31,1199.146694,,1,1,2,33,11.80251149,2,33.48074034,0,0,1,Semi-Furnished,59.08501173
32,2426.139092,3003.470689,5,4,1,28,4.295751343,7,54.56038394,0,1,1,Semi-Furnished,181.638011
33,1493.251388,2584.800501,4,3,2,2,6.750020487,5,42.00983597,1,1,0,Semi-Furnished,133.3448888
34,971.1445355,,2,1,2,14,16.12218289,5,57.71354633,1,0,0,Semi-Furnished,63.46761847
35,1911.272456,2572.587393,4,1,2,6,8.898362533,8,44.03266303,1,1,0,Fully-Furnished,155.3758335
36,889.578175,3915.48952,3,2,1,2,7.309902507,9,68.79324917,0,0,1,Unfurnished,124.2909138
37,1604.431798,3748.075916,3,2,3,15,4.233528938,8,25.86038336,1,1,0,Unfurnished,170.3093699
38,520.1649381,,1,2,3,33,10.02373722,10,58.15065627,0,0,0,Semi-Furnished,68.77852063
39,835.9069756,3299.107994,3,1,3,19,12.12407287,2,54.69487614,0,1,1,Fully-Furnished,67.37463016
40,1598.430618,2306.534552,2,4,3,38,11.49835058,10,56.9153762,0,0,0,Unfurnished,104.5922192
41,1869.23329,2399.276653,1,2,1,32,6.964796546,7,65.79746739,0,0,1,Semi-Furnished,102.9456428
42,1585.684141,,2,4,2,13,9.445009133,5,23.03194391,1,1,0,Fully-Furnished,117.8666307
43,1442.175859,,2,2,3,34,14.68663775,7,82.49812433,0,1,1,Unfurnished,87.59012778
44,1349.448152,1349.741128,3,1,3,10,12.28352917,3,57.78427526,1,1,0,Fully-Furnished,106.4718477
45,760.7390048,2662.447052,3,4,1,19,4.863349031,4,78.93964867,0,0,1,Semi-Furnished,104.7530714
46,1140.077896,2856.8644,2,4,2,29,0.5,7,77.97693371,1,1,1,Fully-Furnished,123.2523036
47,1269.680615,500,3,1,2,27,9.187090028,,56.42382643,1,1,1,Unfurnished,86.25297869
48,2028.561113,1982.372109,3,4,3,14,11.19427251,2,53.86779542,1,0,1,Unfurnished,146.1167358
49,1671.809145,2897.489204,3,1,3,37,3.643102033,1,61.24272372,0,0,1,Fully-Furnished,98.8351732
50,618.4799223,1850.65683,4,1,2,12,7.964841912,1,15.78399717,0,1,0,Unfurnished,61.07414597
51,1662.041985,2583.250916,2,3,1,34,6.945203737,1,48.67909062,1,0,0,Fully-Furnished,106.3281518
52,1307.45886,2280.932374,5,2,2,23,8.417145289,6,64.53330181,0,1,0,Fully-Furnished,103.7901494
53,1161.539,2273.328186,2,3,2,0,5.821214852,5,72.92032836,1,0,1,Semi-Furnished,127.4602337
54,1805.838144,1782.948018,1,1,3,23,13.16204399,10,45.28279276,0,0,1,Semi-Furnished,122.6856743
55,2015.499761,1026.735357,3,1,1,26,8.591875523,8,55.40988751,0,1,0,Fully-Furnished,80.10277153
56,1965.64006,1102.775882,3,4,1,17,4.483932455,5,58.58811508,0,1,1,Unfurnished,120.2090372
57,1080.391238,2567.482012,5,1,1,25,11.66984861,1,48.76626215,1,0,0,Semi-Furnished,67.78113487
58,1345.393812,2015.566604,1,1,3,28,2.943249616,8,35.99615134,1,1,0,Unfurnished,91.05569363
59,1665.631716,1889.190204,4,1,1,7,13.13797751,6,40.06304813,0,1,1,Fully-Furnished,95.09599702
60,1987.772564,1660.887966,2,2,1,25,11.9642377,8,34.33007901,1,1,0,Unfurnished,112.4333522
61,1260.412881,1755.848924,4,3,3,4,13.55910118,2,27.31400637,0,1,1,Unfurnished,88.63522505
62,1407.170512,,1,3,2,32,7.36701451,10,47.45454082,1,1,1,Fully-Furnished,122.2149586
63,946.832513,1731.804735,5,2,1,39,6.015544081,8,83.2512704,1,1,1,Semi-Furnished,85.98594367
64,901.896688,927.1482294,1,2,2,4,8.336087044,6,53.69786447,1,0,0,Semi-Furnished,73.49558107
65,1906.262911,2594.92142,5,2,1,35,7.662252855,1,45.69538133,0,1,0,Unfurnished,119.6525994
66,2178.120014,,4,3,2,12,5.389054858,1,55.59297783,1,1,1,Fully-Furnished,144.2157487
67,1463.994939,2025.116692,4,3,2,16,5.785506743,10,37.61206183,0,1,0,Fully-Furnished,108.8375049
68,2001.766449,3286.062645,1,1,3,12,6.534508611,5,25.08789093,0,1,1,Semi-Furnished,152.8133437
